comparison,label,left_seed,right_seed,cube_centroid_distance_m,bowl_centroid_distance_m,max_object_centroid_distance_m
within_condition_direction,cosmos_contrastive_static32:right,7205,7209,0.0,0.00048828125,0.00048828125
within_condition_direction,cosmos_contrastive_static32:right,7206,7207,0.0,0.0008188725503539269,0.0008188725503539269
within_condition_direction,cosmos_contrastive_static32:right,7206,7208,0.0,0.0008188725503539269,0.0008188725503539269
within_condition_direction,cosmos_contrastive_static32:right,7206,7209,0.0,0.00048828125,0.00048828125
within_condition_direction,cosmos_contrastive_static32:right,7207,7208,0.0,0.0,0.0
within_condition_direction,cosmos_contrastive_static32:right,7207,7209,0.0,0.00044013077093066273,0.00044013077093066273
within_condition_direction,cosmos_contrastive_static32:right,7208,7209,0.0,0.00044013077093066273,0.00044013077093066273
within_condition_direction,cosmos_declarative_static32:left,7200,7201,0.005783866084219792,0.00044013077093066273,0.005783866084219792
within_condition_direction,cosmos_declarative_static32:left,7200,7202,0.003497692573704688,0.0,0.003497692573704688
within_condition_direction,cosmos_declarative_static32:left,7200,7203,0.003497692573704688,0.0,0.003497692573704688
within_condition_direction,cosmos_declarative_static32:left,7200,7204,0.003497692573704688,0.0,0.003497692573704688
within_condition_direction,cosmos_declarative_static32:left,7200,7205,0.003497692573704688,0.0,0.003497692573704688
within_condition_direction,cosmos_declarative_static32:left,7200,7206,0.003497692573704688,0.0,0.003497692573704688
within_condition_direction,cosmos_declarative_static32:left,7200,7207,0.003497692573704688,0.0,0.003497692573704688
within_condition_direction,cosmos_declarative_static32:left,7200,7208,0.003497692573704688,0.0,0.003497692573704688
within_condition_direction,cosmos_declarative_static32:left,7200,7209,0.004094362751769634,0.0,0.004094362751769634
within_condition_direction,cosmos_declarative_static32:left,7201,7202,0.0028575927516405336,0.00044013077093066273,0.0028575927516405336
within_condition_direction,cosmos_declarative_static32:left,7201,7203,0.0028575927516405336,0.00044013077093066273,0.0028575927516405336
within_condition_direction,cosmos_declarative_static32:left,7201,7204,0.0028575927516405336,0.00044013077093066273,0.0028575927516405336
within_condition_direction,cosmos_declarative_static32:left,7201,7205,0.0028575927516405336,0.00044013077093066273,0.0028575927516405336
within_condition_direction,cosmos_declarative_static32:left,7201,7206,0.0028575927516405336,0.00044013077093066273,0.0028575927516405336
within_condition_direction,cosmos_declarative_static32:left,7201,7207,0.0028575927516405336,0.00044013077093066273,0.0028575927516405336
within_condition_direction,cosmos_declarative_static32:left,7201,7208,0.0028575927516405336,0.00044013077093066273,0.0028575927516405336
within_condition_direction,cosmos_declarative_static32:left,7201,7209,0.001708984375,0.00044013077093066273,0.001708984375
within_condition_direction,cosmos_declarative_static32:left,7202,7203,0.0,0.0,0.0
within_condition_direction,cosmos_declarative_static32:left,7202,7204,0.0,0.0,0.0
within_condition_direction,cosmos_declarative_static32:left,7202,7205,0.0,0.0,0.0
within_condition_direction,cosmos_declarative_static32:left,7202,7206,0.0,0.0,0.0
within_condition_direction,cosmos_declarative_static32:left,7202,7207,0.0,0.0,0.0
within_condition_direction,cosmos_declarative_static32:left,7202,7208,0.0,0.0,0.0
within_condition_direction,cosmos_declarative_static32:left,7202,7209,0.0013810679320049757,0.0,0.0013810679320049757
within_condition_direction,cosmos_declarative_static32:left,7203,7204,0.0,0.0,0.0
within_condition_direction,cosmos_declarative_static32:left,7203,7205,0.0,0.0,0.0
within_condition_direction,cosmos_declarative_static32:left,7203,7206,0.0,0.0,0.0
